rating,review_title,review_text,date,platform
2,Options orders keep slipping,Every time I place a limit order for options it gets filled at a worse price. The mobile app has serious latency issues during market open hours.,2024-06-03,iOS
1,UPI deposit failed money deducted,Tried adding funds via UPI. The money was deducted from my bank but never credited to Groww. Raised a ticket 3 days ago — still no resolution.,2024-06-04,iOS
3,KYC re-verification loop,Asked to do re-KYC even though I completed it last month. The selfie upload keeps failing with a vague error message. Support just keeps asking me to retry.,2024-06-05,iOS
1,App crashes at 9:15 AM every day,Without fail the app freezes right when the market opens. I missed a critical trade because of this crash. Has been happening since the last update two weeks ago.,2024-06-02,iOS
2,Support bot is useless,The chatbot cannot understand anything beyond basic queries. When I escalate to a human wait time is 45+ minutes. Other brokers respond within minutes.,2024-06-06,iOS
5,Best investing app in India,Super clean interface fast execution great mutual fund options. The SIP feature works flawlessly. Highly recommend Groww to anyone starting their investment journey.,2024-06-01,iOS
4,Good app but iOS needs polish,The Android version seems more polished than iOS. A few UI elements are misaligned and the chart tooltip behaves oddly on iPhone 15 Pro. Otherwise great product.,2024-06-03,iOS
1,Funds withdrawal delayed 5 days,My withdrawal request has been pending for 5 days. The status just says Processing. No updates from support. I need these funds urgently.,2024-06-07,iOS
2,PAN verification keeps rejecting,I've uploaded my PAN card 4 times in different lighting and orientations. It keeps saying document not clear. This onboarding experience is terrible.,2024-06-02,iOS
3,Chart mismatch with actual LTP,The candlestick chart shows a different LTP than the order book. This mismatch confused me into placing a wrong order. Please fix the real-time data sync.,2024-06-05,iOS
5,Seamless SIP setup,Setting up SIPs is incredibly smooth. The fund comparison feature helped me pick the right fund. Transaction history is well-organized. Five stars!,2024-06-01,iOS
1,Account frozen without notice,Woke up to find my account frozen. No email no in-app notification explaining why. I have active positions! This is completely unacceptable.,2024-06-06,iOS
2,Delayed limit order execution,I placed a buy limit order at 9:16 AM. It sat pending for 20 minutes even though the price crossed my limit multiple times.,2024-06-04,iOS
4,Great for mutual funds,If you're into mutual funds this is the app. SIP management NAV tracking portfolio analysis — all excellent. Stock trading could use some improvement.,2024-06-03,iOS
1,UPI ID not recognized,My bank's UPI handle is not recognized by Groww even though it works on every other app. I've been unable to add funds for a week now.,2024-06-07,iOS
2,Support ticket ignored for a week,Opened a ticket about an incorrect transaction on Day 1. It's now Day 7 and the only response I got was an automated acknowledgement.,2024-06-05,iOS
5,Portfolio tracking is top-notch,The consolidated portfolio view across stocks mutual funds and gold is amazing. XIRR calculation is accurate. Best wealth management interface I've used.,2024-06-02,iOS
1,App update broke biometric login,After the latest iOS update Face ID stopped working. I have to enter my password every single time. Reported this a week ago with no fix in sight.,2024-06-04,iOS
3,Onboarding took 4 days,The KYC verification process took 4 days when competitors do it in hours. The video KYC step kept timing out and I had to reschedule multiple times.,2024-06-06,iOS
2,Settlement cycle confusion,There's no clear explanation of T+1 vs T+2 settlement in the app. I sold shares expecting funds by next day but they came two days later.,2024-06-07,iOS
4,Clean dark mode,The new dark mode looks fantastic on OLED. Watchlist management is very intuitive. Just wish the news feed loaded faster.,2024-06-01,iOS
1,Options P&L shows wrong values,My options P&L in the portfolio section shows a completely wrong value. The individual positions are correct but the aggregate is off by lakhs.,2024-06-03,iOS
2,Aadhaar OTP never arrives,During re-KYC the Aadhaar OTP is supposed to arrive from UIDAI. It never comes on time — usually 10-15 minutes late and often expired.,2024-06-05,iOS
5,Instant fund credit via NEFT,Added funds via NEFT and they were credited within 30 minutes. Execution speed for large orders is excellent. Groww has improved massively over the last year.,2024-06-02,iOS
3,Watchlist sync issues,My watchlist doesn't sync between my iPhone and iPad. I add a stock on one device and it doesn't show up on the other. Minor but annoying.,2024-06-06,iOS
2,Slippage on market orders,Market order placed during high volatility got filled almost 2% away from the quoted price. Need better price protection for retail investors.,2024-06-03,Android
1,Bank not linked even after retry,Tried linking my HDFC account 5 times. Each time it says verification failed. The UPI payment option also doesn't work with my VPA.,2024-06-04,Android
3,Re-KYC documentation unclear,The list of acceptable documents for re-KYC is not clearly mentioned in the app. Wasted time uploading wrong documents. Add better guidance.,2024-06-02,Android
1,Freeze during F&O order,App completely froze when I tried to square off my futures position at 3:25 PM. Had to force-close the app and lost significant money due to delay.,2024-06-05,Android
4,Improved customer care,Customer care has noticeably improved. My last issue was resolved within 24 hours via chat. Keep it up!,2024-06-01,Android
